#{"t_start": 1706720603.3647332, "env_id": "None"}
r,l,t,qos_breach
-30250.001834,1000,0.831261,95
-28780.001858,1000,1.319247,84
-25970.001895,1000,2.544334,151
-24860.001895,1000,3.027259,143
-19680.001937,1000,4.263573,154
-20340.001932,1000,4.75962,137
-16570.002005,1000,6.004636,186
-18150.001954,1000,6.484222,220
-15160.002021,1000,7.700553,228
-15600.002023,1000,8.204188,220
-14590.002027,1000,9.448781,247
-12740.002057,1000,9.934592,242
-12980.002133,1000,11.159604,269
-13670.002059,1000,11.643172,306
-11540.002041,1000,12.897575,262
-10220.002098,1000,13.38452,321
-11140.002074,1000,14.680418,292
-10020.002084,1000,15.164787,256
-9560.002079,1000,16.486852,268
-7940.002183,1000,16.985008,247
-9430.00216,1000,18.261916,294
-7830.002131,1000,18.78117,284
-9360.002186,1000,20.041792,288
-8810.00214,1000,20.527547,328
-8100.002125,1000,21.759122,325
-6430.002191,1000,22.255996,294
-7830.002119,1000,23.537972,304
-7290.002149,1000,24.055794,292
-6420.00229,1000,25.303542,291
-7590.002144,1000,25.808578,292
-8000.002154,1000,27.116389,325
-7370.00226,1000,27.620748,331
-7260.002213,1000,28.856405,338
-7250.002136,1000,29.337391,320
-7800.002127,1000,30.60976,335
-6830.002213,1000,31.097104,324
-6400.00216,1000,32.367225,300
-6300.002161,1000,32.874099,295
-6710.002209,1000,34.280222,323
-6490.00217,1000,34.764853,317
-6350.002206,1000,35.984222,310
-6230.002168,1000,36.467808,304
-6810.002209,1000,37.020475,333
-6700.002191,1000,38.373158,320
-6430.002169,1000,38.874564,309
-6630.002309,1000,40.16477,324
-5860.002264,1000,40.653509,293
-6440.002146,1000,42.291684,317
-6430.002197,1000,42.779668,314
-6180.002155,1000,44.097898,304
-6520.002196,1000,44.588216,321
-6470.002165,1000,45.911886,311
-5520.002173,1000,46.393157,276
-6580.002193,1000,47.812602,329
-6420.002182,1000,48.373895,311
-6550.002196,1000,49.564936,320
-6110.002174,1000,50.138981,298
-6240.002174,1000,51.406642,312
