#{"t_start": 1706716006.7889109, "env_id": "None"}
r,l,t
-30600.005126,1000,0.881444
-30330.005235,1000,1.375411
-22480.004693,1000,2.694909
-27360.004814,1000,3.187994
-20690.004261,1000,4.451079
-19610.004117,1000,4.936348
-17690.003946,1000,6.224574
-16260.003835,1000,6.709496
-16140.003672,1000,7.965456
-15750.003657,1000,8.447428
-14000.003225,1000,9.721431
-13570.003334,1000,10.205146
-13360.003341,1000,11.475259
-14110.003282,1000,11.958316
-12260.003269,1000,13.233305
-10100.002909,1000,13.756146
-8890.002931,1000,15.055667
-9540.002877,1000,15.560056
-9590.002675,1000,16.836557
-9930.002719,1000,17.323654
-7450.002527,1000,18.571109
-9860.002703,1000,19.065377
-8100.002541,1000,20.313144
-7970.002513,1000,20.803253
-8530.002558,1000,22.054435
-7220.002397,1000,22.540675
-7200.002354,1000,23.846753
-7280.002425,1000,24.332567
-7120.002407,1000,25.579474
-6600.002323,1000,26.062885
-7100.002202,1000,27.317534
-7240.002441,1000,27.801459
-6870.002262,1000,29.065368
-7020.002381,1000,29.551879
-6910.002342,1000,30.86992
-7050.002303,1000,31.35406
-7210.002178,1000,32.660599
-6800.002207,1000,33.153712
-6940.002209,1000,34.451519
-6680.002228,1000,34.937979
-6600.002225,1000,36.240453
-6050.002272,1000,36.750974
-7000.002223,1000,37.235123
-6480.002192,1000,38.548019
-6690.002235,1000,39.054441
-6720.00228,1000,40.379565
-6310.002198,1000,40.866527
-6100.00217,1000,42.173369
-5880.00217,1000,42.6577
-6190.002188,1000,44.017082
-6170.002222,1000,44.510199
-6140.002187,1000,45.818063
-6580.002214,1000,46.299759
-6100.002222,1000,47.551013
-6400.002173,1000,48.031092
-6160.00229,1000,49.301891
-6930.002293,1000,49.784936
-6330.002211,1000,51.03652
-6390.002211,1000,51.521633
-6320.002161,1000,52.786062
-6080.002177,1000,53.271102
-6140.002166,1000,54.568979
-5860.002164,1000,55.05391
-6210.002181,1000,56.304038
-6100.00216,1000,56.783111
-5920.002202,1000,58.024153
-6020.002196,1000,58.507508
-6140.002191,1000,59.755801
-6720.002149,1000,60.245805
-6540.002184,1000,61.498215
-6750.002187,1000,61.990968
-6080.002216,1000,63.251574
-6700.002191,1000,63.740872
-6780.002202,1000,65.000954
-6370.002207,1000,65.489446
-6320.002153,1000,66.73695
-6230.002154,1000,67.225572
-7040.002157,1000,68.488286
-5980.00225,1000,68.979103
-6420.002202,1000,70.282451
-6100.002165,1000,70.771059
-5840.002216,1000,72.016191
-6820.002179,1000,72.505834
-7160.002163,1000,73.783507
-6360.002164,1000,74.287836
-6730.002194,1000,74.774448
-6200.002223,1000,76.031122
-6120.002195,1000,76.51447
-6780.002172,1000,77.763367
-6660.00219,1000,78.249672
-6060.002161,1000,79.608573
-7140.002225,1000,80.090385
-6380.002219,1000,81.347629
-6620.002176,1000,81.831781
-6000.002166,1000,83.090231
-6630.002156,1000,83.589709
-6480.002176,1000,84.870482
-6080.002177,1000,85.355654
-6140.002159,1000,86.60431
-5880.002168,1000,87.087031
-5910.002188,1000,88.517439
-6300.002181,1000,89.002864
-6160.002168,1000,90.255654
-5700.002177,1000,90.743401
-6320.002207,1000,92.012148
-6040.002246,1000,92.502661
-6570.002152,1000,93.739014
-5660.002311,1000,94.226438
-6940.002152,1000,95.485618
-5960.002189,1000,95.971684
-6680.002258,1000,97.213091
-5860.002166,1000,97.698784
-6380.002169,1000,98.946048
-5760.0022,1000,99.43042
-6280.002271,1000,100.662263
-5830.002196,1000,101.139851
-6300.002184,1000,102.36751
-5870.002272,1000,102.854185
-6120.002172,1000,104.090018
-6800.002178,1000,104.573372
-6020.00221,1000,105.803678
-5720.0022,1000,106.286516
-6520.00219,1000,107.511562
-6900.002153,1000,107.994239
-6520.002152,1000,109.250253
-6380.002183,1000,109.733528
-6280.002307,1000,110.973534
-6360.002159,1000,111.449993
-6160.002167,1000,111.934442
-6760.002148,1000,113.163293
-5700.002205,1000,113.646276
-6400.002164,1000,114.876631
-6080.00217,1000,115.357894
-7060.002192,1000,116.58366
-6800.002188,1000,117.068999
-6800.002159,1000,118.305842
-5620.002271,1000,118.781159
-5960.002163,1000,120.065734
-6360.002155,1000,120.548393
-6220.002168,1000,121.79291
-6340.002166,1000,122.272967
-6020.002196,1000,123.495752
-6000.002199,1000,123.978095
-6880.002146,1000,125.21737
-6760.002179,1000,125.701885
-6060.002245,1000,126.935751
-6220.002286,1000,127.419793
-6000.002165,1000,128.645594
-6670.002244,1000,129.131783
-6040.002177,1000,130.363446
-6220.002178,1000,130.850806
-6080.002237,1000,132.086726
-6780.002161,1000,132.573935
-6440.002217,1000,133.854354
-6480.002166,1000,134.350047
-6380.002173,1000,135.585723
-6400.002159,1000,136.069853
-5680.002254,1000,137.327046
-6780.002165,1000,137.80758
-5500.00229,1000,139.051957
-5920.002258,1000,139.543769
-6200.002264,1000,140.902236
-6440.002194,1000,141.382001
-5500.002205,1000,142.663385
-6160.00221,1000,143.145175
-6440.002184,1000,144.433528
-6240.002181,1000,144.930818
-6100.002179,1000,146.198752
-6160.002172,1000,146.684621
-6140.002199,1000,147.939244
-6000.002191,1000,148.426198
-6320.002209,1000,148.906774
-5800.002177,1000,150.257081
-6240.002162,1000,150.738968
-5940.0022,1000,152.017338
-6760.002157,1000,152.498046
-6500.002209,1000,153.752621
-6680.002203,1000,154.236852
-6200.002257,1000,155.469154
-6160.002194,1000,155.954928
-6920.002334,1000,157.243171
-6040.002301,1000,157.72736
-6580.00219,1000,158.994769
-6040.002217,1000,159.483842
-6010.002184,1000,160.785309
-5660.002225,1000,161.272879
-6050.002299,1000,162.546319
-6880.002248,1000,163.035609
-6440.002308,1000,164.302783
-6630.002268,1000,164.789111
-6370.002273,1000,166.084603
-6340.002153,1000,166.572304
-5940.002191,1000,167.834485
-6380.002161,1000,168.321441
-6100.002191,1000,169.598313
-5900.002241,1000,170.084165
-6330.002256,1000,171.389879
-6170.002202,1000,171.877229
-6640.002204,1000,173.138569
-5780.002211,1000,173.62693
-6020.002205,1000,174.892357
-6740.002185,1000,175.376658
-6620.002185,1000,176.66557
-6620.002166,1000,177.152362
-6580.002171,1000,178.414077
