#{"t_start": 1715954647.594678, "env_id": "None"}
r,l,t,qos_breach,power_per_mbit,latency_error,allocation_error,total_power,total_traffic,reward
-2334.169172,1000,1.990121,0,0.028197414380562,100,0,27.441266072015296,973.1837714500533,-5.028197414380562
-2119.347562,1000,3.665568,0,0.026831081025670098,100,0,26.11157262464359,973.1837714500533,-5.02683108102567
-1719.292345,1000,11.252578,0,0.028068954333010585,100,0,27.316250838458558,973.1837714500533,-5.02806895433301
-1804.105159,1000,12.943201,0,0.027620144469411707,100,0,26.87947636273742,973.1837714500534,-5.027620144469411
-1409.255752,1000,20.257062,0,0.027994814695669525,0,0,27.244099346577045,973.1837714500533,-0.02799481469566952-15-1509.291288,1000,21.885611,0,0.027008705508045686,100,0,26.28443388830373,973.1837714500534,-5.02700870550804-11-966.924212,1000,29.706253,0,0.027157095548357133,0,0,26.42884466737965,973.1837714500534,-0.0271570955483571-10--974.65306,1000,31.333188,0,0.028313274413930067,100,0,27.554019176248758,973.1837714500532,-5.0283132744139305-7-676.961805,1000,39.020699,0,0.027630010702572247,0,0,26.889078020734594,973.1837714500532,-0.027630010702572-70-6-499.738906,1000,40.648562,0,0.0284333327009038,0,0,27.67085795275969,973.1837714500533,-0.028433332700903-51-539.538902,1000,48.391618,0,0.028531517752751027,0,0,27.766410051816393,973.1837714500533,-0.02853151775275102-5--424.758561,1000,50.015566,0,0.028052343658331112,100,0,27.300085599427653,973.1837714500532,-5.0280523436583-47--362.190192,1000,57.876045,0,0.028089353790255726,0,0,27.33610325919592,973.1837714500534,-0.0280893537902557--39-234.601283,1000,59.507829,0,0.02824956648176363,0,0,27.49201965055174,973.1837714500532,-0.02824956648176363-3-236.91344,1000,67.312134,0,0.02745907695674092,0,0,26.722728073298384,973.1837714500534,-0.02745907695674092
-212.176108,1000,68.934192,0,0.027509164769116506,0,0,26.77147271944974,973.1837714500534,-0.027509164769116506
-224.680434,1000,76.691924,0,0.0281963950685491,0,0,27.4402740941063,973.1837714500534,-0.0281963950685491
-204.696101,1000,78.314293,0,0.02788148755935571,0,0,27.133811216651537,973.1837714500534,-0.02788148755935571
-209.634271,1000,86.045615,0,0.027417566697177466,0,0,26.682330962342547,973.1837714500533,-0.027417566697177466
-177.120933,1000,87.671223,0,0.028123398617307404,0,0,27.369235132384436,973.1837714500533,-0.028123398617307404
-139.613591,1000,95.301865,0,0.02812339861730741,0,0,27.36923513238444,973.1837714500533,-0.02812339861730741
--179.596337,1000,96.936075,0,0.02758419630100742,0,0,26.844492188633012,973.1837714500534,-0.02758419630100742
-184.559836,1000,104.601237,0,0.02812339861730744,0,0,27.369235132384468,973.1837714500533,-0.02812339861730744
-146.943851,1000,106.223495,0,0.027567073596618957,0,0,26.827828650598825,973.1837714500534,-0.027567073596618957
-139.592025,1000,113.961898,0,0.027972671836593504,0,0,27.22255027547076,973.1837714500534,-0.027972671836593504
-147.139035,1000,115.595513,0,0.02812339861730741,0,0,27.36923513238444,973.1837714500533,-0.02812339861730741
-187.156723,1000,122.976155,0,0.027454489451600814,0,0,26.718263587744588,973.1837714500533,-0.027454489451600814
-157.107649,1000,124.597982,0,0.02800696303664747,0,0,27.255921914866825,973.1837714500534,-0.02800696303664747
-147.064389,1000,132.003452,0,0.027824856136204595,0,0,27.07869843468675,973.1837714500534,-0.027824856136204595-2-129.630091,1000,133.64474,0,0.02766792614566684,0,0,26.925976714641592,973.1837714500533,-0.02766792614566684
-137.113641,1000,140.980658,0,0.02745017554209056,0,0,26.7140653610177,973.1837714500532,-0.02745017554209056
-147.115959,1000,142.627547,0,0.02791265155864263,0,0,27.164139515011044,973.1837714500533,-0.02791265155864263
-134.649832,1000,150.113001,0,0.027653773247615882,0,0,26.91220334393941,973.1837714500532,-0.027653773247615882
-156.931724,1000,151.746955,0,0.027682908706456316,0,0,26.940557499656677,973.1837714500534,-0.027682908706456316
--142.073633,1000,159.077452,0,0.027742381969124093,0,0,26.998435913720144,973.1837714500534,-0.027742381969124093-2-144.51765,1000,160.705214,0,0.0276942683476253,0,0,26.951612518091824,973.1837714500532,-0.0276942683476253
-134.584059,1000,168.06351,0,0.027950250370989086,0,0,27.200730069012412,973.1837714500533,-0.027950250370989086
-142.113551,1000,169.685467,0,0.028148145941957907,0,0,27.39331882712111,973.1837714500533,-0.028148145941957907
-152.048816,1000,177.085173,0,0.02747354430717272,0,0,26.73680746395449,973.1837714500534,-0.02747354430717272
-134.54608,1000,178.714286,0,0.027603973005891288,0,0,26.86373855687875,973.1837714500534,-0.027603973005891288
-127.007767,1000,186.315847,0,0.027414994870380953,0,0,26.679828102241203,973.1837714500533,-0.027414994870380953
