#{"t_start": 1706719899.2265441, "env_id": "None"}
r,l,t,qos_breach
-32100.001837,1000,0.831754,100
-31550.001809,1000,1.331331,90
-27540.001871,1000,2.763197,122
-23250.001888,1000,3.305227,135
-23680.00194,1000,4.601718,144
-21630.001935,1000,5.094859,159
-17750.001938,1000,6.363015,160
-17060.001983,1000,6.852341,198
-13800.002042,1000,8.108942,195
-15410.00201,1000,8.609307,213
-12370.00205,1000,9.862672,246
-15830.002015,1000,10.352566,239
-11590.002113,1000,11.608858,227
-13390.002057,1000,12.091143,262
-12330.002046,1000,13.31838,269
-11050.002101,1000,13.800256,275
-10600.002113,1000,15.045256,260
-10730.002088,1000,15.5296,294
-10410.002082,1000,16.756335,278
-8410.002132,1000,17.246111,278
-9090.002101,1000,18.463863,307
-9210.002169,1000,18.95775,313
-9250.002125,1000,20.190123,325
-7560.002194,1000,20.67308,303
-8430.002276,1000,21.95246,314
-7840.002174,1000,22.435779,287
-8740.002139,1000,23.665872,312
-7600.002165,1000,24.153715,285
-7220.00218,1000,25.391283,306
-7640.002161,1000,25.882502,337
-7480.00216,1000,27.113014,324
-7530.002308,1000,27.593681,314
-6830.00225,1000,28.817344,309
-6380.002144,1000,29.302963,304
-6620.00219,1000,30.531187,311
-7180.002178,1000,31.042927,324
-7280.002217,1000,32.29409,294
-5800.002165,1000,32.781157,285
-6600.002177,1000,34.024495,325
-6790.002162,1000,34.513813,322
-6130.002166,1000,35.7474,294
-6880.002147,1000,36.229995,319
-6350.002175,1000,36.718363,305
-6980.002155,1000,37.93989,329
-6320.002298,1000,38.426694,316
-6360.002225,1000,39.648964,318
-6810.00215,1000,40.134881,313
-6120.002241,1000,41.370926,306
-6550.002175,1000,41.857339,320
-5850.002296,1000,43.076577,285
-6560.00227,1000,43.562033,318
-6300.002175,1000,44.78994,315
-6020.002189,1000,45.273194,301
-5840.002161,1000,46.47917,292
-6510.002161,1000,46.968125,318
-6300.002154,1000,48.190905,315
-6230.002179,1000,48.6716,304
-6360.002183,1000,49.898954,313
-6500.002148,1000,50.380317,325
-6300.002174,1000,51.631675,315
-6200.002239,1000,52.114033,310
-5900.002177,1000,53.344934,295
-6660.002158,1000,53.829014,333
-6460.002182,1000,55.117459,318
-6280.00216,1000,55.603154,314
-5540.002197,1000,56.976495,277
-6070.002157,1000,57.467451,296
-6560.002166,1000,58.735258,328
-6060.002155,1000,59.219225,303
-5880.002223,1000,60.457993,294
-6700.002178,1000,60.944383,335
-6220.002141,1000,62.201692,306
-6440.002176,1000,62.715728,317
-6860.002144,1000,63.988372,343
-6360.002199,1000,64.492108,318
-6280.002193,1000,65.734601,314
-6080.002242,1000,66.227537,304
-6210.002206,1000,67.460751,303
-6560.002193,1000,67.95047,328
-6360.00217,1000,69.197827,318
-6800.002215,1000,69.690799,340
-6000.002181,1000,70.94932,295
-6740.002153,1000,71.437627,337
-5900.002167,1000,72.704363,295
-5860.002169,1000,73.20158,288
-6140.002176,1000,73.692938,297
-6240.0022,1000,74.942039,312
-6460.002166,1000,75.42714,323
-6040.002175,1000,76.654948,302
-6620.002176,1000,77.130387,331
-5540.002201,1000,78.357299,277
-6590.002224,1000,78.838238,322
-6180.00218,1000,80.147554,309
-6080.002282,1000,80.622427,304
-5840.002266,1000,81.911617,292
-6020.002193,1000,82.385563,301
-5940.002202,1000,83.674539,297
-6480.002175,1000,84.157737,324
-6140.002178,1000,85.416297,307
-6440.002172,1000,85.892503,322
-6380.00216,1000,87.148332,319
-6260.00215,1000,87.622736,313
-6460.002158,1000,88.839763,323
-6380.002169,1000,89.317655,319
-5680.002196,1000,90.545825,284
-6080.002177,1000,91.044866,304
-6680.002149,1000,92.305624,334
-6240.002152,1000,92.77911,312
-5640.002299,1000,94.069401,282
-6100.00217,1000,94.55246,305
-6160.002207,1000,95.778963,308
-6140.002214,1000,96.258313,307
-6600.002274,1000,97.535342,330
-6040.002261,1000,98.010847,302
-6460.002213,1000,99.286942,323
-6620.002232,1000,99.764397,331
-6280.002258,1000,101.03758,314
-5940.002176,1000,101.514137,297
-6300.00219,1000,102.757397,315
-6280.002185,1000,103.243858,314
-6480.002161,1000,104.540195,324
-6140.002273,1000,105.028981,307
-6360.00217,1000,106.304908,318
-6390.002217,1000,106.806016,312
-6480.002218,1000,108.078245,324
-6920.002158,1000,108.563308,346
-5860.002207,1000,109.835897,293
-6020.00217,1000,110.324724,301
-6840.002166,1000,110.812887,342
-6580.00216,1000,112.170285,329
-5760.002204,1000,112.658441,288
-6420.002179,1000,113.946327,321
-6140.002157,1000,114.441868,307
-5930.00218,1000,115.746797,289
-6100.002186,1000,116.233052,305
-6740.002234,1000,117.465963,337
-6760.002161,1000,117.95154,338
-6160.002281,1000,119.178329,308
-6020.002233,1000,119.666222,301
-6760.002192,1000,120.892999,338
-6680.002281,1000,121.381623,334
-6240.002194,1000,122.755311,312
-5980.002198,1000,123.238347,299
-6560.002193,1000,124.473277,328
-6300.002183,1000,124.969847,315
-5840.002178,1000,126.240491,292
-6300.002168,1000,126.726962,315
-6140.002169,1000,127.997922,302
-6380.002168,1000,128.484093,319
-6880.002245,1000,129.717151,344
-5900.002175,1000,130.204978,295
-6060.002208,1000,131.442631,303
-6180.002271,1000,131.935276,309
-6740.002149,1000,133.170445,337
-6380.002169,1000,133.662431,319
-6520.00221,1000,134.900563,326
-6520.002186,1000,135.382162,326
-5840.002182,1000,136.611191,292
-5840.002191,1000,137.108553,292
-5860.002204,1000,138.328552,293
-6620.002174,1000,138.815531,331
-6360.002162,1000,140.035198,318
-6480.002196,1000,140.516859,324
-5520.002256,1000,141.836838,276
-6360.002205,1000,142.325903,318
-6080.002177,1000,143.553619,304
-6380.002217,1000,144.037595,319
-6340.002202,1000,145.266804,317
